"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d","educ_category","dem_rep"
"705",414128106,3,1,3,2,1,2,1,1,5,4,2,3,5,3,2,2,2,2,2,1,1,1,1,1,"< 4-yr-Degree","Republican"
"706",414566881,3,2,5,2,3,2,8,5,1,2,1,1,3,3,2,4,2,2,2,3,2,1,2,1,"4-yr-Degree +","Democrat"
"707",414220135,3,2,1,NA,1,2,7,6,4,4,1,3,3,3,2,2,5,5,5,5,1,1,1,1,"< 4-yr-Degree","Independent"
"708",417454643,4,2,3,NA,2,2,8,5,1,4,2,1,2,3,2,4,2,2,2,1,2,1,1,1,"< 4-yr-Degree","Democrat"
"709",412298180,4,2,4,2,1,2,5,5,1,5,2,2,4,2,2,4,2,3,3,2,2,2,2,1,"<4-yr-Degree","Democrat"
"710",412924305,3,1,4,2,1,2,6,3,1,2,3,1,3,3,2,4,3,3,3,3,2,2,2,1,"<4-yr-Degree","Democrat"
"711",412355892,3,2,3,2,1,2,5,1,1,2,1,1,2,2,2,4,2,2,2,2,2,2,2,1,"< 4-yr-Degree","Democrat"
"712",415235609,4,1,2,2,1,2,1,5,6,3,4,1,6,3,1,1,2,2,2,2,1,2,2,1,"< 4-yr-Degree","Republican"
"713",413987858,1,2,2,2,1,2,1,1,1,2,1,2,9,3,1,4,3,3,2,2,2,2,2,1,"< 4-yr-Degree","Democrat"
"714",418113104,3,1,3,2,1,2,2,5,3,1,3,1,3,3,2,4,2,5,2,5,1,1,1,2,"< 4-yr-Degree","Democrat"
"715",412954354,4,2,3,2,1,2,7,1,2,3,1,2,5,3,2,3,3,5,3,3,2,1,2,1,"< 4-yr-Degree","Democrat"
"716",418065405,4,1,3,2,7,2,5,1,5,5,1,1,5,3,2,1,2,2,2,2,1,2,2,1,"< 4-yr-Degree","Republican"
"717",420122456,2,1,5,2,1,2,5,1,1,2,4,1,11,2,1,4,2,3,3,3,2,2,2,1,"4-yr-Degree +","Democrat"
"718",412518754,3,1,2,2,1,2,5,1,7,5,1,1,4,3,2,1,2,3,2,5,1,1,1,1,"< 4-yr-Degree","Republican"
"719",415437539,3,1,4,2,3,2,1,1,3,2,3,1,6,3,2,4,2,2,2,3,2,1,2,1,"<4-yr-Degree","Democrat"
"720",415418606,1,2,1,2,1,2,7,4,4,3,2,4,1,3,2,4,5,5,5,5,2,1,1,2,"< 4-yr-Degree","Independent"
"721",415730095,3,1,2,2,1,2,5,4,1,3,3,1,5,2,2,4,2,3,2,2,2,1,1,2,"< 4-yr-Degree","Democrat"
"722",415460601,2,1,3,NA,1,1,1,1,4,2,2,1,5,3,2,4,2,3,3,2,2,1,1,2,"< 4-yr-Degree","Independent"
"723",412379901,3,2,2,2,5,2,5,3,1,2,4,2,7,2,2,4,2,2,2,NA,2,2,2,2,"< 4-yr-Degree","Democrat"
"724",414227418,4,1,3,2,2,2,3,5,4,3,4,3,1,3,2,4,3,3,3,3,2,2,1,2,"< 4-yr-Degree","Independent"
"725",412991669,1,2,5,1,5,2,1,3,7,4,1,1,5,2,1,1,2,3,3,3,1,1,2,1,"4-yr-Degree +","Republican"
"726",417081426,2,1,5,2,1,2,5,1,1,2,4,1,9,3,2,4,2,3,3,2,2,2,2,1,"4-yr-Degree +","Democrat"
"727",419595780,3,2,3,1,5,2,1,5,1,2,2,1,4,3,2,4,2,2,2,2,2,2,2,1,"< 4-yr-Degree","Democrat"
"728",412348350,2,1,3,2,1,2,1,3,4,4,1,1,9,1,1,2,3,3,3,3,1,1,2,1,"< 4-yr-Degree","Independent"
"729",414156220,1,1,5,1,3,2,1,1,2,2,2,2,9,1,1,3,3,3,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"730",415579306,4,2,2,NA,4,2,8,5,4,2,4,4,5,3,2,4,5,5,5,5,1,2,2,1,"< 4-yr-Degree","Independent"
